Author Username,Date,Comment
h*****k,2021-08-29 11:28:18,All good! Item packed in bubble wrap. Delivery was fast. Very nice looking rice cooker and quality is good too. Tried cooking rice already and it turned out very nice 👍
n*****e,2022-10-11 15:18:29,"Performance:very good
Safety:very good

Fast delivery by seller. Good packaging. Takde defect apa². Berfungsi dengan baik. Dah try masak nasi, nasi masak elok. Tq seller"
haliza16899,2024-01-12 00:42:08,"Safety:ok
Performance:baik

Barang sampai cepat..bungkus baik..kotak tak kemik..hadiah tournament so aku x test la..tp aku dah beli periuk ni..sgt bagus..nasi dia sedap lain mcm rasa..lambat plk basi..masak kek aku try skali..boleh la..yg penting x bentat..hahaha..aku suka sgt periuk ni..spai pak mertua aku pun suh beli utk dia..rasa nasi lain..biasa drama Korea aku tgk pakai rice cooker gini..Okk abis berleter..tq² seller.."
lynndy128,2022-08-15 02:30:21,"Received in good condition, the parcel 📦 was wrapped it's very good, the price it's very reasonable and worth to buy it, the seller very good services and so fast delivered the item for me. Thanks you so much to Seller. 😁😁😁👍👍👍"
h*****a,2022-09-11 18:38:03,"Performance:bagus
Safety:baik

barang sampai dalam keadaan baik..laju penghantarannya..kualiti bagus..terima kasih atas free gift..balut barang pun kemas..belum guna..lagipun rumah mak memang pakai periuk ni mmg terbukti bagus."
syazatul74,2022-12-29 13:25:31,"Performance:good
Safety:good

Thank you .... suka sgt puas hati sgt ... delivery was fast, item properly pack dgn extra layer of box plus ada cushion plastic wrap ... tq for the extra shipping care ❤️❤️"
s*****e,2021-09-10 16:57:31,This shop sell the rice cooker at the cheapest price. The rice cooker is so pretty and easy to use. There is a manual book included in the box. I watched a lot of YouTube's review before decided to buy this rice cooker. It worth every penny I spent on it 👍👍👍
m*****n,2024-01-16 16:36:40,Thank you seller for fast response. Came well wrapped with bubble wrapper.  Have not tried yet.
aizana_salsabil,2021-10-05 18:14:28,Alhamdulillah berjaya jugak mendarat setelah berhempas pulas tepon hq DHL sbb kata brg dh hntr tp xde..xpela nk wat camna kn staff dia trsalah keyin tracking.pasan sbb dpt noti dr shoppe.excited kot sbb periuk rosak xsabar nk guna.so mmg best giler periuk ni plg penting xde lg kerak nasi👍👍👍
l*****a,2021-08-07 14:22:10,Periuk nasi sudah sampai..bungkusan yg baik penghantaran yg pantas..puas hati semua lengkap..thank you seller👍👍
noorsuhaidaariffin,2021-06-20 14:59:36,Took a week to be delivered .nice looking design and quality.haven’t try it yet.hopefully it will last longer than my previous philips rice cooker.
nadiahman,2024-01-08 12:42:23,"Performance:not try yet

capacity besar. hopefully tahan lama. mmg aim philips sbb brand philips trusted. nasi tk mudah berkerak. seller fast responds ✨🫶🏻"
